DATE,BAA10YM,CPIAUCSL,FEDFUNDS,HOUST,INDPRO,INTDSRUSM193N,ISRATIO,M2SL,MTSDS133FMS,PAYEMS,PCE,T10Y2YM,T10YFFM,UMCSENT,UNRATE,USSLIND,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC
1969-05-01,1.2,5.507246376811592,8.67,12.42897727272727,4.022419439986757,6.0,,6.977175728335494,,3.955537160763911,9.185158239359769,,-2.35,-0.9740259740259827,3.4,,1.7000000000000002,3.066666666666667,3.0279226628850964,-5.635764503663598,10.439239054921256,8.351588992587722
1969-06-01,1.13,5.475504322766556,8.9,8.754448398576509,4.654053488250387,6.0,,6.616291927755258,,4.021795154995944,8.01725687578645,,-2.33,-0.9740259740259827,3.5,,2.2,3.033333333333333,2.988902020361661,-5.886967337753257,12.23450965216486,7.925716507218272
1969-07-01,1.12,5.4441260744985565,8.61,-9.523809523809524,5.368309597068821,6.0,,6.213343108504388,,3.820861345154558,7.013494318181812,,-1.89,-0.9740259740259827,3.5,,2.7,3.0,2.950081426930584,-6.136620764389922,14.054842211416819,7.507922320630533
1969-08-01,1.17,5.428571428571427,9.19,-9.163879598662206,5.3165159074693324,6.0,,5.587914088096113,,3.9192155714912857,7.566137566137554,,-2.5,-6.493506493506496,3.5,,1.166666666666667,2.6666666666666665,2.6481513277420987,-5.461130794924818,11.559414224168997,7.650854810244279
1969-09-01,0.89,5.698005698005693,9.15,-3.1491002570694038,4.895487257464826,6.0,,5.148121387283244,,3.5482740494130027,7.919746568109809,,-1.99,-6.493506493506496,3.7,,-0.3666666666666663,2.333333333333333,2.3470108244667998,-4.781711582202708,9.11708434356029,7.7923122285959545
1969-10-01,1.12,5.665722379603411,9.0,-11.982154238368391,4.718447106514545,6.0,,4.626972740315627,,3.4923822412363137,8.205038488453464,,-1.9,-6.493506493506496,3.7,,-1.9,2.0,2.0466568237684335,-4.098328742322632,6.726175665588441,7.932317292691704
1969-11-01,1.11,5.932203389830515,8.85,-24.601226993865033,2.4065693880064076,6.0,,4.089615931721191,,3.0470833816537146,7.594936708860756,,-1.71,-13.086150490730642,3.5,,-1.4666666666666666,1.4333333333333331,1.4667940391903889,-3.484310689619441,3.513002421503564,7.823903730600468
1969-12-01,1.0,5.89887640449438,8.97,-14.27648578811369,1.810305365960918,6.0,,3.7226534932957023,,2.878061460258774,8.031222896790968,,-1.32,-13.086150490730642,3.5,,-1.0333333333333332,0.8666666666666667,0.8929190945192733,-2.8614279108030716,0.44764368907457275,7.716981315470028
1970-01-01,1.07,6.162464985994376,8.98,-38.66591294516676,-0.6758937990112068,6.0,,3.5657825399613596,,2.5014761157274634,7.74635818337619,,-1.19,-13.086150490730642,3.9,,-0.6,0.3,0.3249397177786273,-2.229487036744904,-2.479870988699917,7.611519493019636
1970-02-01,1.54,6.424581005586605,8.98,-23.46041055718475,-1.3724925616661832,6.0,,2.517922713761145,,2.304193747399541,7.694921012400191,,-1.74,-20.468431771894103,4.2,,-0.2,0.26666666666666666,0.2707898219191929,-1.7833463744476141,-1.896822590275915,7.481209943651002
