,Real Gross Domestic Product,Real Gross Domestic Product,Real Gross Domestic Product,Federal Debt: Total Public Debt as Percent of Gross Domestic Product,Gross Private Domestic Investment,Personal Consumption Expenditures
DATE,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC
1989-02-01,3.7666666666666666,4.1,9124.664333333332,49.784373333333335,1004.007,3511.3703333333333
1989-03-01,3.433333333333333,3.9,9147.820666666667,49.83598666666666,1002.527,3532.568666666667
1989-04-01,3.1,3.7,9170.976999999999,49.8876,1001.047,3553.7670000000003
1989-05-01,3.066666666666667,3.7666666666666666,9193.625666666667,49.982123333333334,999.518,3572.311
1989-06-01,3.033333333333333,3.8333333333333335,9216.274333333333,50.07664666666667,997.989,3590.8550000000005
1989-07-01,3.0,3.9,9238.923,50.171170000000004,996.46,3609.3990000000003
1989-08-01,2.2666666666666666,3.5,9244.991333333333,50.57448333333333,996.243,3624.1633333333334
1989-09-01,1.5333333333333332,3.1,9251.059666666668,50.97779666666667,996.026,3638.927666666667
1989-10-01,0.8,2.7,9257.128,51.38111,995.809,3653.692
1989-11-01,2.0,2.7333333333333334,9290.848333333333,51.576926666666665,1000.8186666666667,3681.7773333333334
1989-12-01,3.2,2.7666666666666666,9324.568666666668,51.77274333333333,1005.8283333333334,3709.8626666666664
1990-01-01,4.4,2.8,9358.289,51.96856,1010.8380000000001,3737.948
1990-02-01,3.4333333333333336,2.6666666666666665,9369.609666666667,52.228139999999996,1012.1320000000001,3753.1056666666664
1990-03-01,2.466666666666667,2.533333333333333,9380.930333333334,52.48772,1013.426,3768.2633333333333
1990-04-01,1.5,2.4,9392.251,52.7473,1014.72,3783.421
1990-05-01,1.1,2.1666666666666665,9394.333666666667,53.08257666666667,1010.075,3804.5139999999997
1990-06-01,0.7000000000000001,1.9333333333333333,9396.416333333333,53.41785333333334,1005.43,3825.607
1990-07-01,0.3,1.7,9398.499,53.753130000000006,1000.785,3846.7
1990-08-01,-1.0,1.3333333333333333,9369.978333333333,54.51413000000001,983.0076666666666,3853.7696666666666
1990-09-01,-2.3000000000000003,0.9666666666666666,9341.457666666667,55.275130000000004,965.2303333333333,3860.8393333333333
1990-10-01,-3.6,0.6,9312.937,56.03613000000001,947.453,3867.909
1990-11-01,-3.033333333333333,0.06666666666666665,9298.413666666667,56.49626000000001,939.8249999999999,3869.7933333333335
1990-12-01,-2.466666666666667,-0.4666666666666667,9283.890333333333,56.95639,932.197,3871.6776666666665
1991-01-01,-1.9,-1.0,9269.367,57.41652,924.569,3873.562
1991-02-01,-0.19999999999999996,-0.8333333333333334,9293.458666666667,57.52618333333333,925.2263333333333,3891.352
1991-03-01,1.5,-0.6666666666666667,9317.550333333333,57.635846666666666,925.8836666666667,3909.1420000000003
1991-04-01,3.2,-0.5,9341.642,57.745509999999996,926.541,3926.9320000000002
1991-05-01,2.8000000000000003,-0.3666666666666667,9357.376333333334,58.184083333333334,933.5193333333334,3942.3776666666668
1991-06-01,2.4,-0.23333333333333334,9373.110666666666,58.622656666666664,940.4976666666668,3957.8233333333337
1991-07-01,2.0,-0.1,9388.845,59.06123,947.4760000000001,3973.2690000000002
1991-08-01,1.8,0.33333333333333337,9399.751666666667,59.60281666666667,957.9133333333334,3982.19
1991-09-01,1.5999999999999999,0.7666666666666667,9410.658333333333,60.14440333333334,968.3506666666667,3991.1110000000003
1991-10-01,1.4,1.2,9421.565,60.685990000000004,978.788,4000.032
1991-11-01,2.5666666666666664,1.7666666666666666,9459.158666666666,60.789590000000004,971.4643333333333,4033.4883333333332
1991-12-01,3.7333333333333334,2.333333333333333,9496.752333333334,60.893190000000004,964.1406666666667,4066.9446666666668
1992-01-01,4.9,2.9,9534.346,60.996790000000004,956.817,4100.401
1992-02-01,4.733333333333333,3.0,9568.807999999999,61.190986666666674,975.5726666666667,4118.8206666666665
1992-03-01,4.566666666666667,3.1,9603.27,61.38518333333334,994.3283333333333,4137.240333333333
1992-04-01,4.4,3.2,9637.732,61.57938000000001,1013.084,4155.66
1992-05-01,4.266666666666667,3.3666666666666667,9669.481,61.68559333333334,1016.7766666666666,4179.430333333333
1992-06-01,4.133333333333334,3.5333333333333337,9701.23,61.791806666666666,1020.4693333333333,4203.200666666667
1992-07-01,4.0,3.7,9732.979,61.898019999999995,1024.162,4226.971
1992-08-01,4.066666666666666,3.9333333333333336,9766.822666666667,62.106199999999994,1035.4286666666667,4253.715666666666
1992-09-01,4.133333333333334,4.166666666666667,9800.666333333333,62.31438,1046.6953333333333,4280.460333333333
