DATE,BAA10YM,CPIAUCSL,FEDFUNDS,HOUST,INDPRO,INTDSRUSM193N,ISRATIO,M2SL,MTSDS133FMS,PAYEMS,PCE,T10Y2YM,T10YFFM,UMCSENT,UNRATE,USSLIND,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC
1949-10-01,,-1.1090458136906953,,,-0.8973554667984684,,,,,-1.262286096562713,,,,,1.3105646599215621,,-1.8817683390729638,-1.86498452284019,-1.2812230499246056,,-0.9605204823357871,-0.9154304913491951
1949-11-01,,-1.1086563198999246,,,-0.8869146716674048,,,,,-1.2540036663170009,,,,,0.3966631009060392,,0.04203578975222974,-1.1639619717016791,-1.2757661517312582,,-0.9575865403599958,-0.9152162724286318
1949-12-01,,-1.1098248012722363,,,-0.879687321260013,,,,,-1.2462733980876697,,,,,0.5185166421081084,,1.9658399185774245,-0.4629394205631681,-1.270309253537911,,-0.9546525983842047,-0.9150020535080687
1950-01-01,,-1.1111231139081381,,,-0.8724599708526213,-1.0406114490105751,,,,-1.2461629656843936,,,,,0.45758987150707386,,3.8896440474026166,0.23808313057534286,-1.2648523553445634,,-0.9517186564084136,-0.9147878345875056
1950-02-01,,-1.1098248012722363,,,-0.8708532484907854,-1.0406114490105751,,,,-1.2524852207719537,,,,,0.3966631009060392,,3.5145022422817043,0.7010225511385106,-1.260451290105536,,-0.9499667001073863,-0.9144761705196252
1950-03-01,,-1.1094353074814658,,,-0.85719900863605,-1.0406114490105751,,,,-1.2343466985338445,,,,,0.335736330305004,,3.1393604371607915,1.163961971701678,-1.2560502248665086,,-0.948214743806359,-0.9141645064517449
1950-04-01,,-1.1093054762178756,,,-0.8427414076003967,-1.0406114490105751,,,,-1.2225304313832954,,,,,0.03110247729982971,,2.764218632039879,1.6269013922648459,-1.251649159627481,,-0.9464627875053315,-0.9138528423838644
1950-05-01,,-1.1077475010547937,,,-0.8323006124693333,-1.0406114490105751,,,,-1.213254109508098,,,,,-0.15167783450327477,,3.1105033752284137,2.0237066098904184,-1.2459025777523092,,-0.9444554034361284,-0.9127541583730839
1950-06-01,,-1.1063193571553016,,,-0.8186463726145979,-1.0406114490105751,,,,-1.2031771527091484,,,,,-0.2126046051043094,,3.456788118416948,2.4205118275159907,-1.2401559958771373,,-0.9424480193669255,-0.9116554743623034
1950-07-01,,-1.1038525631470884,,,-0.8033883106188964,-1.0406114490105751,,,,-1.1929345473052844,,,,,-0.4563116875084491,,3.8030728616054827,2.817317045141563,-1.2344094140019657,,-0.9404406352977224,-0.9105567903515228
1950-08-01,,-1.102164756720416,,,-0.7881273484023252,-1.0088338512832244,,,,-1.172559768900833,,,,,-0.7609455405136234,,2.9854561068547754,3.227349103354655,-1.231452011762783,,-0.9373426252381647,-0.910762026674144
