,CPIAUCSL,FEDFUNDS,HOUST,INDPRO,INTDSRUSM193N,ISRATIO,M2SL,MTSDS133FMS,PAYEMS,PCE,T10Y2YM,T10YFFM,UMCSENT,UNRATE,USSLIND,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC,AAA,BAA,CIVPART,GS20,GS3,IRLTLT01USM156N,M1SL,MCOILWTICO,PPIACO,TCU,TOTALSA,PMI
1969-03-01,-0.9476655530481074,0.5544525981057428,0.3316109217061056,-0.13363450472812732,0.3717262277605627,,-0.9082028012974713,,-0.5178888741789375,-0.9948103020015909,,-0.9875543668788503,0.7449920629346656,-1.4311400171250068,,-0.08301147862140777,0.1454952464627095,-0.7208125969817951,-0.937160352268127,-0.8323558061718922,-0.8157451482666723,0.41594595325619316,0.20874796259117614,-0.9925553252506424,0.15479722126363624,0.36219943765801943,0.07518634948175547,-0.8703571230107472,,-0.563566480680453,1.9626404470451717,,0.573954007892909
1969-04-01,-0.9450689277763038,0.7267703254417606,0.2376292102105452,-0.13789202896490566,0.5306142163973158,,-0.9078690088672551,,-0.5132783213421578,-0.993620407493901,,-1.4655337199066638,0.5547012550845936,-1.4311400171250068,,-0.5832005521159582,-0.03968052176255762,-0.7198245946570316,-0.9547086862870344,-0.8322505370545623,-0.8148363018391839,0.43092850514015624,0.2193504941236803,-0.9592501837150503,0.08650077584726708,0.3210254708957071,0.02974851525493985,-0.8696013732173382,,-0.5619437200547485,1.8096672602239778,,0.312684091756686
1969-05-01,-0.943770615140402,1.076964416479474,0.38749193935211446,-0.1422510609321245,0.5482684373569549,,-0.9076635981409681,,-0.5062106475324836,-0.9920973425240577,,-2.1729431623878273,0.36441044723452504,-1.4311400171250068,,-0.4389152424540686,-0.05290736235007664,-0.7176714510119158,-0.9540561572591897,-0.8307195510628851,-0.8140111058550302,0.3934721254302487,0.21228213976867744,-1.0258604667862345,0.11525717391731735,0.40337340442033176,0.08217678551665034,-0.8694934089611368,,-0.5586981988033392,1.655930162357483,,0.5189498150221253
1969-06-01,-0.9411739898685986,1.140888734684771,0.24778939523709229,-0.13103010638710103,0.5482684373569549,,-0.9071500713252507,,-0.49770735248021925,-0.991954555183135,,-2.160197046307086,0.2195622203635763,-1.370213246523972,,-0.2946299327921791,-0.06613420293759585,-0.7155183073667998,-0.9534036282313453,-0.8291885650712079,-0.8131859098708766,0.46463924687907343,0.275897328963702,-0.9259450421794582,0.1763645198161741,0.50472470721987,0.16955723595283428,-0.8689535876801304,,-0.5554526775519298,1.784601429050092,,0.3539372364097735
1969-07-01,-0.9385773645967951,1.06028850738244,-0.1586180058247905,-0.12490483991021045,0.5482684373569549,,-0.906893307917392,,-0.4951397991040485,-0.9915261931603666,,-1.8797824925307682,0.07471399349262997,-1.370213246523972,,-0.15034462313028957,-0.07936104352511487,-0.7133651637216837,-0.9527510992035005,-0.8276575790795305,-0.8123607138867229,0.502095626588981,0.32537580944872085,-0.9259450421794582,0.17276997005741757,0.656751661419177,0.22198550621454446,-0.8685217306553255,,-0.5538299169262253,1.8206007370598247,,0.023912079185070715
1969-08-01,-0.9372790519608932,1.2214889619871017,-0.18401846839115815,-0.12222503582657067,0.5482684373569549,,-0.9067392498726767,,-0.48743713897553637,-0.9898127450692931,,-2.26853903299339,-0.07013423337831998,-1.370213246523972,,-0.592819572760084,-0.2116294494003057,-0.7149654249909327,-0.9462864224513029,-0.8295514748210417,-0.8114015007493454,0.46089360890808245,0.3324441638037237,-0.8593347591082762,0.15479722126363624,0.650417204994206,0.21149985216220263,-0.8685217306553255,,-0.5554526775519298,1.79460388929948,,0.25767989888590137
1969-09-01,-0.9346824266890899,1.210371689255746,0.19444842384772015,-0.1224889559257171,0.5482684373569549,,-0.9062257230569594,,-0.4900323004525261,-0.9890274146942176,,-1.9435130729344772,-0.26042504122838966,-1.2483597053219022,,-1.0352945223898786,-0.3438978552754965,-0.7165656862601817,-0.9398217456991051,-0.831445370562553,-0.8104422876119678,0.5245694544149254,0.39959353017624955,-0.8593347591082762,0.27341736330259353,0.802444159193513,0.37577509898222833,-0.8680898736305203,,-0.5538299169262253,1.7162552627159668,,0.1614225613620303
1969-10-01,-0.9320858014172863,1.1686819165131608,-0.1255974044885125,-0.12214672986308778,0.5482684373569549,,-0.905891930626743,,-0.4843174235829848,-0.9877661265160662,,-1.8861555505711394,-0.45071584907845935,-1.2483597053219022,,-1.4777694720196732,-0.47616626115068716,-0.7181659475294305,-0.9333570689469075,-0.8333392663040641,-0.8094830744745902,0.5957365758637502,0.4596745421937725,-0.8260296175726841,0.251850064750056,0.7390995949438018,0.35480379087754405,-0.8672261595809101,,-0.5522071563005206,1.6491743240506165,,0.23017780245051006
1969-11-01,-0.9294891761454828,1.1269921437705759,-0.5116844354973011,-0.13316466894722953,0.5482684373569549,,-0.9053784038110256,,-0.4852837071116512,-0.9872901687129901,,-1.7650674478040933,-0.641006656928529,-1.370213246523972,,-1.3527222036460356,-0.7010225511385115,-0.7186508011336881,-0.9345169130807055,-0.8344330535291731,-0.8085929150588917,0.6032278518057316,0.47027707372627636,-0.892639900643866,0.341713808718963,0.7644374206436864,0.3687846629473335,-0.866470409787501,,-0.5489616350491113,1.3810892915908792,,0.037663127402766866
1969-12-01,-0.9268925508736792,1.160343961964644,-0.26275990234689794,-0.13627080549872103,0.5482684373569549,,-0.9047364952913789,,-0.4810044514847,-0.9867428172394528,,-1.5165181842296307,-0.68644923790765,-1.370213246523972,,-1.227674935272398,-0.9258788411263357,-0.7191356547379457,-0.9356767572145044,-0.8355268407542822,-0.8077027556431934,0.74181645673239,0.6116441608263306,-0.892639900643866,0.40282115461781975,0.9069626902055367,0.547040781837149,-0.8661465170188972,,-0.5457161137977021,1.2546620135938369,,-0.12734945120958502
